PMCID,EvtID,CtxID,label
PMC2063868,in0from0to5,cellosaurus:CVCL_0224,0
PMC2063868,in0from0to5,cellosaurus:CVCL_D880,0
PMC2063868,in0from0to5,cellosaurus:CVCL_S979,1
PMC2063868,in0from0to5,go:GO:0009986,1
PMC2063868,in0from0to5,go:GO:0031012,0
PMC2063868,in0from0to5,manual:neurite,0
PMC2063868,in0from0to5,taxonomy:10090,0
PMC2063868,in0from0to5,taxonomy:9606,1
PMC2063868,in0from0to5,taxonomy:9940,0
PMC2063868,in0from0to5,tissuelist:TS-0278,0
PMC2063868,in0from0to5,tissuelist:TS-0636,0
PMC2063868,in0from0to5,tissuelist:TS-0676,0
PMC2063868,in0from0to5,tissuelist:TS-0923,0
PMC2063868,in0from0to5,tissuelist:TS-1006,0
PMC2063868,in0from0to5,uaz:CL:0000097,0
PMC2063868,in0from0to5,uaz:CL:0002608,0
PMC2063868,in0from0to5,uberon:UBERON:0001781,0
PMC2063868,in0from0to5,uberon:UBERON:0002049,0
PMC2063868,in0from7to14,cellosaurus:CVCL_0224,0
PMC2063868,in0from7to14,cellosaurus:CVCL_0594-cells,0
PMC2063868,in0from7to14,cellosaurus:CVCL_2529,0
PMC2063868,in0from7to14,cellosaurus:CVCL_S979,1
PMC2063868,in0from7to14,go:GO:0009986,1
PMC2063868,in0from7to14,go:GO:0015629,0
PMC2063868,in0from7to14,go:GO:0016020,0
PMC2063868,in0from7to14,go:GO:0030426,0
PMC2063868,in0from7to14,manual:neurite,0
PMC2063868,in0from7to14,taxonomy:10090,0
PMC2063868,in0from7to14,taxonomy:9606,1
PMC2063868,in0from7to14,taxonomy:9796,0
PMC2063868,in0from7to14,taxonomy:9940,0
PMC2063868,in0from7to14,taxonomy:9986,0
PMC2063868,in0from7to14,tissuelist:TS-0278,0
PMC2063868,in0from7to14,tissuelist:TS-0636,0
PMC2063868,in0from7to14,tissuelist:TS-0923,0
PMC2063868,in0from7to14,tissuelist:TS-1006,0
PMC2063868,in0from7to14,tissuelist:TS-1313,0
PMC2063868,in0from7to14,uaz:CL:0000097,0
PMC2063868,in0from7to14,uaz:CL:0000451,0
PMC2063868,in0from7to14,uberon:UBERON:0002049,0
PMC2063868,in101from14to21,cellosaurus:CVCL_0224,1
PMC2063868,in101from14to21,cellosaurus:CVCL_0594-cells,0
PMC2063868,in101from14to21,cellosaurus:CVCL_D880,0
PMC2063868,in101from14to21,cellosaurus:CVCL_F568,0
PMC2063868,in101from14to21,cellosaurus:CVCL_S979,0
PMC2063868,in101from14to21,go:GO:0009986,0
PMC2063868,in101from14to21,go:GO:0015629,0
PMC2063868,in101from14to21,go:GO:0030424,0
PMC2063868,in101from14to21,go:GO:0030426,0
PMC2063868,in101from14to21,manual:neurite,0
PMC2063868,in101from14to21,taxonomy:10090,0
PMC2063868,in101from14to21,taxonomy:9606,1
PMC2063868,in101from14to21,taxonomy:9986,0
PMC2063868,in101from14to21,tissuelist:TS-0683,0
PMC2063868,in101from14to21,tissuelist:TS-0923,0
PMC2063868,in101from14to21,tissuelist:TS-1006,0
PMC2063868,in101from14to21,uaz:CL:0002608,0
PMC2063868,in101from14to21,uberon:UBERON:0002049,0
PMC2063868,in102from0to3,cellosaurus:CVCL_0224,1
PMC2063868,in102from0to3,cellosaurus:CVCL_2529,0
PMC2063868,in102from0to3,cellosaurus:CVCL_F568,0
PMC2063868,in102from0to3,cellosaurus:CVCL_S979,0
PMC2063868,in102from0to3,go:GO:0009986,0
PMC2063868,in102from0to3,go:GO:0030424,0
PMC2063868,in102from0to3,manual:neurite,0
PMC2063868,in102from0to3,taxonomy:10090,0
PMC2063868,in102from0to3,taxonomy:9606,1
PMC2063868,in102from0to3,taxonomy:9796,0
PMC2063868,in102from0to3,uberon:UBERON:0002049,0
PMC2063868,in103from12to15,cellosaurus:CVCL_0224,1
PMC2063868,in103from12to15,cellosaurus:CVCL_0594-cells,0
PMC2063868,in103from12to15,cellosaurus:CVCL_S979,0
PMC2063868,in103from12to15,go:GO:0009986,0
PMC2063868,in103from12to15,go:GO:0015629,0
PMC2063868,in103from12to15,go:GO:0030424,0
PMC2063868,in103from12to15,go:GO:0030426,0
PMC2063868,in103from12to15,manual:neurite,0
PMC2063868,in103from12to15,taxonomy:10090,0
PMC2063868,in103from12to15,taxonomy:9606,0
PMC2063868,in103from12to15,taxonomy:9940,0
PMC2063868,in103from12to15,taxonomy:9986,0
PMC2063868,in103from12to15,tissuelist:TS-0278,0
PMC2063868,in103from12to15,tissuelist:TS-0636,0
PMC2063868,in103from12to15,tissuelist:TS-0676,0
PMC2063868,in103from12to15,tissuelist:TS-0683,0
PMC2063868,in103from12to15,tissuelist:TS-0923,0
PMC2063868,in103from12to15,tissuelist:TS-1006,0
PMC2063868,in103from12to15,tissuelist:TS-1313,0
PMC2063868,in103from12to15,uaz:CL:0000451,0
PMC2063868,in103from12to15,uaz:CL:0002608,0
PMC2063868,in103from12to15,uberon:UBERON:0001781,0
PMC2063868,in103from12to15,uberon:UBERON:0008915,0
PMC2063868,in104from19to22,cellosaurus:CVCL_0224,1
PMC2063868,in104from19to22,cellosaurus:CVCL_D880,0
PMC2063868,in104from19to22,cellosaurus:CVCL_S979,0
PMC2063868,in104from19to22,cl:CL:0000540,0
PMC2063868,in104from19to22,go:GO:0009986,0
PMC2063868,in104from19to22,go:GO:0030426,0
PMC2063868,in104from19to22,go:GO:0031012,0
PMC2063868,in104from19to22,manual:neurite,0
PMC2063868,in104from19to22,taxonomy:10090,0
PMC2063868,in104from19to22,taxonomy:9606,1
PMC2063868,in104from19to22,taxonomy:9796,0
PMC2063868,in104from19to22,taxonomy:9986,0
